date,level,AQI,AQIarrange,PM25,PM10,So2,No2,Co,O3
2021-12-06,良,71,203,48,80,36,56,1.08,33
2021-12-07,良,55,159,24,66,23,51,0.78,13
2021-12-08,良,69,196,43,83,30,57,1.23,15
2021-12-09,轻度污染,109,273,81,107,27,43,1.10,38
2021-12-10,良,88,180,64,108,36,64,1.28,14
2021-12-11,良,97,242,70,107,47,60,1.36,20
2021-12-12,优,48,157,22,52,15,35,0.60,40
2021-12-13,良,55,213,32,63,30,47,0.88,29
2021-12-14,良,71,192,49,84,35,52,1.07,29
2021-12-15,良,62,120,40,73,29,51,0.99,32
2021-12-16,良,62,165,31,70,16,30,0.60,54
2021-12-17,优,39,145,18,40,11,20,0.47,53
2021-12-18,优,48,120,20,50,18,24,0.60,55
2021-12-19,良,66,236,30,81,22,30,0.68,54
2021-12-20,良,69,222,36,88,33,38,0.80,46
2021-12-21,良,76,216,48,102,46,56,1.15,25
2021-12-22,良,98,252,71,122,29,64,1.38,11
2021-12-23,轻度污染,119,276,90,115,10,46,1.05,9
2021-12-24,良,55,158,39,47,9,28,0.76,30
2021-12-25,良,56,241,39,48,16,30,0.79,33
2021-12-26,优,40,142,22,42,15,37,0.62,33
2021-12-27,良,53,193,35,59,38,50,0.97,22
2021-12-28,良,81,255,60,85,66,61,1.34,18
2021-12-29,良,56,143,34,64,23,46,0.84,31
2021-12-30,良,55,149,35,60,29,40,0.79,40
2021-12-31,良,63,150,44,74,50,57,1.07,23
2022-01-01,良,74,174,50,81,44,54,1.07,33
2022-01-02,良,64,150,41,77,33,54,0.93,18
2022-01-03,良,81,166,58,94,46,60,1.27,23
2022-01-04,良,86,171,63,102,26,64,1.37,12
2022-01-05,轻度污染,110,257,82,123,28,71,1.51,9
2022-01-06,轻度污染,123,271,93,129,22,67,1.60,14
2022-01-07,中度污染,160,302,122,154,32,69,1.70,26
2022-01-08,中度污染,151,292,114,135,31,67,1.48,21
2022-01-09,中度污染,156,286,119,151,29,74,1.76,13
2022-01-10,中度污染,159,297,118,149,19,63,1.67,22
2022-01-11,轻度污染,108,276,81,111,24,53,1.51,22
2022-01-12,良,83,202,56,90,16,44,0.98,33
2022-01-13,优,43,77,22,44,18,37,0.66,36
2022-01-14,良,67,128,46,75,31,53,1.09,25
2022-01-15,良,77,148,52,88,30,53,1.06,31
2022-01-16,良,77,187,55,91,15,46,1.03,24
2022-01-17,良,58,169,37,69,20,50,0.99,24
2022-01-18,良,60,138,38,72,41,55,1.10,28
2022-01-19,轻度污染,107,230,77,110,20,60,1.39,15
2022-01-20,良,69,167,50,52,6,28,0.87,19
2022-01-21,良,84,222,62,68,16,28,0.82,32
2022-01-22,轻度污染,132,280,100,97,14,36,1.11,23
2022-01-23,中度污染,152,308,115,111,8,29,1.43,34
2022-01-24,中度污染,190,330,143,142,25,47,1.78,22
2022-01-25,轻度污染,136,263,102,109,22,40,1.38,50
2022-01-26,轻度污染,146,293,110,129,15,54,1.50,29
2022-01-27,中度污染,197,333,149,160,12,45,1.68,23
2022-01-28,中度污染,197,331,150,168,23,56,1.73,17
2022-01-29,中度污染,186,332,142,160,24,51,1.59,33
2022-01-30,轻度污染,134,312,97,124,27,44,1.26,48
2022-01-31,良,63,178,20,83,7,20,0.47,69
2022-02-01,优,44,92,28,41,15,29,0.65,58
2022-02-02,良,57,232,40,58,20,37,0.90,50
2022-02-03,良,61,244,43,61,21,37,0.97,53
2022-02-04,良,62,246,43,61,14,30,0.79,58
2022-02-05,优,31,100,17,29,12,30,0.50,56
2022-02-06,优,43,177,23,43,23,47,0.73,33
2022-02-07,优,47,222,24,48,21,43,0.81,36
2022-02-08,良,60,225,43,65,28,40,0.91,47
2022-02-09,良,67,216,48,68,23,42,0.86,53
2022-02-10,良,73,223,53,77,24,48,0.90,51
2022-02-11,良,79,242,58,91,31,57,1.13,37
2022-02-12,轻度污染,120,316,90,131,17,50,1.15,37
2022-02-13,良,86,260,63,73,5,28,1.00,30
2022-02-14,良,81,260,60,72,13,32,0.93,37
2022-02-15,良,79,252,57,69,12,25,0.80,51
2022-02-16,良,76,239,55,71,7,35,0.78,46
2022-02-17,良,65,280,46,60,8,24,0.67,60
2022-02-18,良,87,304,63,87,17,36,0.93,42
2022-02-19,优,25,76,12,23,8,21,0.42,64
2022-02-20,优,43,175,21,44,14,40,0.65,43
2022-02-21,优,47,203,23,50,18,40,0.71,39
2022-02-22,优,47,208,22,49,15,39,0.75,39
2022-02-23,良,52,205,28,59,16,43,0.84,38
2022-02-24,良,71,239,46,90,21,49,1.07,50
2022-02-25,良,75,218,53,94,21,54,1.08,58
2022-02-26,优,50,103,21,57,9,32,0.51,65
2022-02-27,良,53,96,24,59,21,42,0.72,54
2022-02-28,良,83,199,40,116,14,37,0.80,61
2022-03-01,优,41,83,17,44,8,24,0.49,66
2022-03-02,良,58,123,27,67,18,36,0.66,62
2022-03-03,良,75,177,31,101,20,40,0.69,62
2022-03-04,中度污染,161,318,50,249,9,23,0.51,73
2022-03-05,良,62,151,19,77,11,39,0.59,50
2022-03-06,良,81,272,36,111,20,55,0.95,31
2022-03-07,良,82,270,42,114,18,47,0.95,52
2022-03-08,良,81,226,40,112,17,57,0.85,57
2022-03-09,轻度污染,122,299,84,186,22,67,1.03,64
2022-03-10,轻度污染,119,311,84,181,23,57,1.06,92
2022-03-11,轻度污染,146,325,110,207,15,60,1.13,65
2022-03-12,轻度污染,130,317,98,133,13,37,1.05,67
2022-03-13,中度污染,169,320,128,175,13,44,1.47,37
2022-03-14,严重污染,301,319,88,442,8,35,0.57,70
2022-03-15,重度污染,219,301,71,298,16,42,0.68,59
2022-03-16,轻度污染,118,298,74,185,14,43,1.02,57
2022-03-17,优,48,240,25,51,8,25,0.60,54
2022-03-18,良,67,298,38,84,18,43,0.83,23
2022-03-19,良,59,220,37,67,13,37,0.89,49
2022-03-20,轻度污染,105,326,78,112,28,40,1.12,54
2022-03-21,轻度污染,131,329,99,137,22,37,1.22,54
2022-03-22,中度污染,164,332,124,169,12,47,1.13,32
2022-03-23,良,97,316,70,108,18,37,1.08,59
2022-03-24,中度污染,154,330,116,185,18,56,1.29,53
2022-03-25,轻度污染,146,331,107,166,19,44,0.98,41
2022-03-26,轻度污染,108,325,42,162,17,37,0.61,57
2022-03-27,良,59,229,18,75,10,29,0.45,66
2022-03-28,良,78,287,33,107,22,46,0.83,47
2022-03-29,轻度污染,101,327,57,153,22,54,0.93,42
2022-03-30,轻度污染,113,328,84,153,11,43,1.15,33
2022-03-31,良,57,274,36,54,8,27,0.63,58
2022-04-01,良,63,304,32,76,17,39,0.64,62
2022-04-02,优,44,179,18,46,10,37,0.46,63
2022-04-03,良,62,246,26,76,24,47,0.66,67
2022-04-04,良,86,321,53,118,22,58,0.95,84
2022-04-05,良,82,312,51,114,27,49,0.81,78
2022-04-06,良,74,272,37,98,12,33,0.63,79
2022-04-07,良,68,238,30,91,28,48,0.68,56
2022-04-08,良,73,212,32,97,24,49,0.72,77
2022-04-09,良,92,304,56,127,25,35,0.90,112
2022-04-10,轻度污染,112,323,76,160,18,42,0.90,103
2022-04-11,轻度污染,109,291,62,168,16,34,0.80,82
2022-04-12,良,60,196,24,71,10,23,0.55,74
2022-04-13,良,62,276,35,74,11,21,0.68,83
2022-04-14,良,60,276,32,71,21,44,0.71,63
2022-04-15,优,50,215,25,57,17,39,0.58,61
2022-04-16,良,57,274,30,67,26,45,0.73,70
2022-04-17,良,65,262,43,77,34,43,0.94,77
2022-04-18,良,56,176,34,60,13,30,0.69,90
2022-04-19,良,55,155,36,57,21,33,0.69,92
2022-04-20,良,60,155,34,69,20,36,0.77,102
2022-04-21,中度污染,156,319,70,216,11,28,0.58,92
2022-04-22,良,63,233,24,78,13,41,0.55,56
2022-04-23,良,86,304,42,123,16,36,0.67,80
2022-04-24,良,100,331,55,150,26,42,0.97,94
2022-04-25,轻度污染,110,325,68,163,27,60,1.11,93
2022-04-26,轻度污染,112,308,58,174,18,45,0.88,78
2022-04-27,良,81,270,25,113,8,18,0.50,83
2022-04-28,优,47,175,30,45,8,20,0.65,65
2022-04-29,良,77,322,56,87,16,37,0.89,48
2022-04-30,优,43,199,26,40,9,25,0.64,66
